ssim,mse,psnr,brisque
1.0,,,33.195309928331056
1.0,,,2.1551541539781454
1.0,,,15.969432242369606
1.0,,,4.754779262681808
1.0,,,41.344076252991016
1.0,,,-2.1882004643830726
1.0,,,23.621651025511568
1.0,,,19.648917361254888
1.0,,,28.6398441716469
1.0,,,38.8287618286391
1.0,,,19.654318735112014
1.0,,,22.97458449554776
1.0,,,7.772371339482419
1.0,,,19.87425541639729
1.0,,,-9.60745259735475
1.0,,,15.502783359048493
1.0,,,10.125881861782176
1.0,,,29.843782894343434
1.0,,,13.974723194613233
1.0,,,21.549279526365893
1.0,,,20.746789225882452
1.0,,,18.921929246758026
1.0,,,10.291961966529897
1.0,,,7.98472286029309
1.0,,,14.573861621509167
1.0,,,31.943327770624904
1.0,,,21.823125482644144
1.0,,,9.563819958581092
1.0,,,44.442457117380485
1.0,,,18.444399025910315
1.0,,,16.492645649917307
1.0,,,22.693917750825307
1.0,,,26.977229379765816
1.0,,,10.018831806565544
1.0,,,20.26667504809504
1.0,,,22.200771700244076
1.0,,,21.134020259363837
1.0,,,-2.664984714305348
1.0,,,7.66389558125158
1.0,,,3.2163677011860443
1.0,,,7.609116662557852
1.0,,,0.12437958096697344
1.0,,,-3.4051770096070015
1.0,,,48.02313947437378
1.0,,,26.75027461249644
1.0,,,3.9738611314661227
1.0,,,26.688708290591848
1.0,,,3.9429394117003937
1.0,,,1.4970370892210383
1.0,,,11.703400246324321
1.0,,,2.5346662322469626
1.0,,,-7.503008351222348
1.0,,,20.813233211035225
1.0,,,14.094867185533161
1.0,,,10.036395928867563
1.0,,,19.199184062719013
1.0,,,13.659089135788207
1.0,,,19.594070828121374
1.0,,,14.053211225754097
1.0,,,6.740160295607069
1.0,,,24.164320208227963
1.0,,,8.749115350094002
1.0,,,-22.947309359038087
1.0,,,20.866590755983765
1.0,,,23.41785228730484
1.0,,,13.199733194153026
1.0,,,10.26130644372435
1.0,,,-4.844712755037136
1.0,,,-1.8287117246206037
1.0,,,33.26991428163669
1.0,,,12.585670784440111
1.0,,,4.6150699552915455
1.0,,,35.61862398245282
1.0,,,6.9053569826972705
1.0,,,15.908714614877425
1.0,,,11.076007264926915
1.0,,,42.088514239411296
1.0,,,14.524305647062732
1.0,,,7.866491859719389
1.0,,,8.827992775319302
1.0,,,16.322230872571907
1.0,,,-1.279241593802709
1.0,,,34.38631845510824
1.0,,,18.231812131815303
1.0,,,24.64962976374406
1.0,,,12.368242448677364
1.0,,,8.020203950426861
1.0,,,10.083991466344031
1.0,,,15.896784104134412
1.0,,,7.710521598162217
1.0,,,23.543499769070735
1.0,,,36.99072070955569
1.0,,,13.67430408377308
1.0,,,17.57561413201151
1.0,,,11.860783108804497
1.0,,,19.72033906351416
1.0,,,-1.3351966805176119
1.0,,,17.822814389378635
1.0,,,6.7200363133742655
1.0,,,19.57146590743318
