ssim,mse,psnr
0.5735311763965879,64.26835543961741,-18.079971869084183
0.6292584379086269,57.038465597839114,-17.561678339659224
0.5532685509382378,137.5058658678543,-21.383212251459373
0.41421783851570204,276.32553451866534,-24.414210187860835
0.5007764276269986,123.36672026883288,-20.91198019074071
0.48248973382274246,168.29200757737675,-22.260634912137093
0.17743190371852538,453.1838622860909,-26.562744363968203
0.32583699608203864,368.90791264272565,-25.66917970434771
0.5750969527951239,76.07198280378613,-18.81224736217165
0.3297449122541363,443.7122490548707,-26.471014179514224
0.40732695627854787,162.9163684117908,-22.11964720611737
0.3989315066364563,197.08378217143337,-22.94650888088471
0.45917165374734004,261.60261508818166,-24.17642081061597
0.2812841877645101,237.57344138687273,-23.75797888734163
0.5861040028649404,55.8871915140215,-17.473122856651205
0.5146953976521093,83.74534985616718,-19.229607012267923
0.4545245162310757,193.36370435600264,-22.863749574552457
0.4929443378912381,450.66958173904095,-26.538582460481265
0.5699946147115279,159.3184533685714,-22.02266081714473
0.4658050112458521,327.4427491597816,-25.151353779232835
0.5078432712510964,271.0309614967337,-24.330189057789138
0.5163888704582813,165.22786378369568,-22.180832879425463
0.4240451701431431,330.51847655620475,-25.19195742315199
0.48096456852826047,461.6207574989654,-26.64285329317025
0.5003910666402385,432.2782619335804,-26.357633966262654
0.2851518955427138,726.7964918854976,-28.614128223805658
0.32544470659051256,119.53813079212341,-20.775064605238196
0.3021304544889032,1870.3141438428693,-32.7191455812963
0.25509570443916396,255.40811353497332,-24.072346893545657
0.34595295815184723,457.62657035651097,-26.605112321840366
0.43367787992226065,184.33410024001253,-22.656056834348334
0.6183448036036244,111.82806467518978,-20.485508089532196
0.3188467976137453,78.60436269923395,-18.954466509201055
0.4310314806659785,177.84862863824526,-22.500505207608267
0.4228830312681386,319.5575914511131,-25.045491391625173
0.2907140533940512,438.0407011568878,-26.41514465450697
0.46772974597054867,277.73481217400024,-24.43630319028314
0.5474383844483048,16.066201986799665,-12.059132226797376
0.5742131486457895,82.81025443476791,-19.180841190154027
0.582409202095191,156.39446096755432,-21.94221367561266
0.44153880144103164,275.59734715840256,-24.40275032829158
0.4659138355922287,137.62161469928236,-21.386866490696992
0.619602069175532,90.0942549529135,-19.546970981733246
0.6209224156476355,54.32896863701726,-17.35031460610681
0.15047974213646273,291.70706254510264,-24.649469439905552
0.27806011298772065,1202.5412045108492,-30.800999661977258
0.49580838223827095,333.93316607886896,-25.236595551122445
0.29992638038280955,506.1683520523448,-27.042949876047196
0.4453784007593933,711.5970345643983,-28.522341295819245
0.43845267521179554,189.3308176561191,-22.772213104702782
0.3574801906121827,331.7688535227156,-25.208356120134138
0.3686108656281652,174.11995139443817,-22.40848537252129
0.4063784483421204,235.59875683837674,-23.721729945205926
0.40274770617656913,445.44111114976675,-26.487902969403777
0.2908657442858179,103.71501690942327,-20.158416424906
0.39269823249589336,236.06080875614006,-23.73023890705327
0.3645978137457141,30.592078807532953,-14.856089893732227
0.48572281296075,221.34317977693019,-23.450661446528937
0.4404683543387726,337.24894060780554,-25.27950594107005
0.3422026183980257,765.935315574855,-28.841920943387628
0.3276538875988529,595.5903821199461,-27.74947675940513
0.36104338684751386,60.729680638298014,-17.83400997286081
0.48833217343408847,64.94779065870252,-18.125643821826603
0.4808062259640806,100.43808806795326,-20.01898436921801
0.41137623769401693,175.8885394176555,-22.452375425283936
0.4371643985748855,51.44045294214033,-17.113047839714948
0.4818141525982794,266.92730998789625,-24.263930097945558
0.32529092145430416,260.9341802305981,-24.1653097183022
0.36112027268909913,686.9552425063795,-28.369284422040725
0.6439508473354458,180.16216489985612,-22.556635918569338
0.5269138981199943,105.23109498477776,-20.221440894839432
0.4025257981187939,491.06504454209045,-26.91139020869982
0.3771103692909937,453.43722285570766,-26.565171686738083
0.3684209801752386,160.51918823498553,-22.055269547874566
0.27872301966135105,455.07646572822404,-26.580843765552885
0.30606968835266846,451.6320762728346,-26.547847792528984
0.49242890858473176,54.63471072764977,-17.37468647976104
0.5895876857089893,128.91695993026903,-21.103100555970773
0.32327461353923537,549.8695272267088,-27.402596525351463
0.5629564708909726,131.6294105690893,-21.193529365485336
0.35192563350522876,427.66814321153316,-26.311069010804747
0.5124720926686454,334.725300805025,-25.246885405165038
0.4813113988047953,275.65055927333316,-24.403588779655728
0.45891511856618106,342.838330581401,-25.35089371679899
0.3157816706751252,402.68468023970007,-26.04965107596208
0.5403196936176785,116.24870983658745,-20.653881416569586
0.4130004060441243,601.6636279920915,-27.793537581431785
0.6102079538532365,196.242932809391,-22.927940256865952
0.6455771721586067,171.51480007585545,-22.3430160142805
0.22316236349186874,291.86111226113695,-24.651762332014986
0.4424611561560467,258.53258856136614,-24.12515294587902
0.5558095389047752,286.28737232351403,-24.56802192411527
0.32956083178779333,78.11393888011774,-18.92728537572278
0.5376620480306838,108.78096022240707,-20.365528880648505
0.3681178873917436,278.1584974554258,-24.442923317283377
0.33002774702461474,124.87969326977381,-20.964918233390485
0.4900441974647472,674.6940209714403,-28.29106861525361
0.33246626327402073,136.96495611077628,-21.366094626705387
0.45491006507407367,356.4966806888308,-25.520554905266344
0.38932804406507737,567.7100490842085,-27.54126581777278
