ssim,mse,psnr,brisque
0.5347459819575577,94.27416140253563,-19.74392677912756,50.01800323740585
0.5931506150139948,78.00545405660733,-18.92124969150472,38.21461196216612
0.7580908781017779,19.806046177425504,-12.967977872645815,52.654328272892116
0.59034169733225,119.97596113975048,-20.790942377961073,54.472703636871046
0.6358608079327558,74.09967457809842,-18.698163007020476,48.974757840073124
0.44567898507689574,186.20243630625023,-22.699853590698066,10.01262638491741
0.27957656649016005,345.8786310785924,-25.389237314525673,43.80027293997895
0.27299731795122545,466.4679029968831,-26.688217659155118,47.577248468826696
0.5480310921335251,94.72362354144336,-19.764583031241326,49.32826339714401
0.5243375539625029,303.0660785322184,-24.81537329535888,61.041607602183575
0.33976991538292106,225.8644807728245,-23.53847939564791,54.05971872584129
0.5512862191437937,76.41472160442443,-18.83177035220439,55.47579431417839
0.6009914777376015,102.99335730332886,-20.128092151950796,45.937269580104015
0.23325803312789029,304.1176065543774,-24.830415638733868,57.94408659949269
0.5395362053367317,77.81602359876229,-18.91069034573125,41.836246935308935
0.44338967490921233,128.871428028193,-21.101566409752287,55.359121715857526
0.6193885522197964,78.3787950926485,-18.941985828389946,45.261829475591725
0.6035286022105174,172.02098204885806,-22.355814226766142,40.76084422851258
0.5340751442482156,191.47793904042516,-22.821187443364007,52.362007550832885
0.4032341904770081,395.52800731939305,-25.97177241294149,48.38912360834203
0.42940102351460957,420.8779107135064,-26.241561329065533,53.97149910744835
0.44685543498237096,255.94312431949336,-24.08143467114582,58.55299938720427
0.36951696695438757,432.15631751651404,-26.356408661559648,49.06772984049414
0.4007961947025008,652.2579129635915,-28.144193565121242,49.89642453131441
0.4569201937075042,544.0693119020932,-27.356542303215523,55.79055571176602
0.41790998583940087,450.58921640029473,-26.537807938816268,49.68364184317542
0.4755693764854545,52.777140902625675,-17.224458594754417,53.07745693849628
0.17815976897320682,2583.2848443588587,-34.12172296035028,55.54563465164435
0.24281228814411665,302.54242872803917,-24.807862889730337,44.403137603948124
0.5039141264108038,283.16540679754627,-24.52040196211979,56.786111314537465
0.3741166161020386,244.096842164107,-23.875621610657998,58.25074171358014
0.5486110252118179,156.69034289545348,-21.950422309519617,44.074024111604984
0.2363527923501085,216.7779796979686,-23.360151644836677,39.79645818162359
0.358291201178581,230.65117238812286,-23.629556664465547,36.95837616824414
0.36755210563355717,397.5628590233518,-25.994058051150176,54.66214556526151
0.41820716113288375,263.03531585753524,-24.200140619969005,48.8383466739983
0.42895687146172046,370.9138882172348,-25.692730950249874,47.33353452001549
0.5142584741164161,20.755190999590756,-13.171267343267587,53.18817605921569
0.4543048702989161,116.71045878328543,-20.671097762539592,56.49344371085178
0.5281286146329792,204.28147328045065,-23.102289813318414,55.967266835834465
0.372304823164157,349.88025979013565,-25.439194403221265,53.04756480306227
0.4335560248135039,147.50158799023802,-21.68796695918828,27.972054281536856
0.5624183307922077,130.05612617962177,-21.141308140739298,42.591047102019246
0.42725527311077155,88.69433648758445,-19.478958891584725,19.424313041263503
0.08992495210185411,436.2572463461189,-26.3974265377124,86.43929678311483
0.4451962888598126,673.0216962533116,-28.280290648349897,53.55868515031975
0.4620975115817857,423.14763444471987,-26.264919173474617,47.18555371704517
0.4424036881823787,266.09285355868707,-24.250332108847054,37.390508187325366
0.39741765720905003,873.4930737539496,-29.41259465652818,47.98844621095438
