ssim,mse,psnr,brisque
0.2128077272340369,177.70837464451327,-22.497078947507095,77.90439628237581
0.42474893740561487,124.5637393305091,-20.953916370217733,93.02227598941963
0.2299997490391524,295.7477123224953,-24.70921393943893,75.23944500853256
0.12643004875057293,479.3312281300121,-26.806357239276323,76.42041443814784
0.06346160142648506,262.24890697414264,-24.187136867756518,61.74863098593116
0.2478952005952768,255.97210260425067,-24.08192635838295,71.56373044337042
0.039241186132181305,596.9509430408336,-27.759386426167026,72.50005465311503
0.0887615779968349,645.7899246680781,-28.10091265061461,72.34287056055493
0.18947316015091475,174.42727169095397,-22.416143878152713,73.66571545122801
0.058257141785297305,635.2186395969146,-28.029232333663234,61.95367777602573
0.0556110751056532,327.068563328548,-25.14638803284113,71.46544265076031
0.11550658231450567,405.99486760302426,-26.0852054346445,74.89024100047536
0.13017039357477725,564.2282662170807,-27.514548392716772,75.52512883116182
0.07446645410602334,442.23341614295384,-26.456515557419742,86.62365752721425
0.2903652120252367,128.21716059765856,-21.079461550900405,81.8030365857147
0.17159072968022676,189.802936835089,-22.783029280143815,77.03658225615808
0.14178908058665787,416.31293791761044,-26.194199078334858,71.9771622901105
0.21021758174566985,831.0084442194731,-29.196054368518467,78.0929222703164
0.20607895922347985,324.01023132218194,-25.105587242084958,74.48452055214167
0.12051971093517279,666.8404442438612,-28.2402193215667,69.37226043634584
0.18932383475080877,789.3527443129057,-28.972711232015705,69.00683967218387
0.16684145019464866,370.5136836182757,-25.688042517490082,74.64711617440898
0.13164130893940235,610.4674315251932,-27.856624992617597,74.15982451595502
0.18195898426200643,936.7477862024851,-29.716226754074896,71.33358531068822
0.1633748657118146,897.6330418985698,-29.530988305989254,72.55456586015131
0.06962356330688067,1109.7681007847978,-30.45232237280956,71.46810774844525
0.07508782685369332,195.72723851575017,-22.916512687541406,73.5136766162178
0.09097125013126021,2537.3175136335326,-34.04374817158951,79.28940189836712
0.08113747286390124,417.67652656542253,-26.208400685867268,72.80353793168294
0.07917742855227954,689.0640215734668,-28.38259574482926,72.09867803456822
0.12109480552763367,378.75714487877883,-25.78360834123325,74.91581472350512
0.2841739579370689,282.57308153366415,-24.511307877382823,82.40306094728871
0.09356628495277136,290.0267676106452,-24.62438082344207,80.79050952992722
0.1343534297077427,298.0108743533639,-24.742321116785856,72.03677056918443
0.13159928508323024,554.2813649862927,-27.437302777992677,74.00010983829984
0.06290297251304038,722.7622046061372,-28.58995433927403,66.1854124285895
0.1688608938946528,560.9158984835765,-27.48897749736447,72.44318628433982
0.3694160112053414,34.56659265420727,-15.386565717782371,94.02553252399636
0.23650781405800908,180.08924739736312,-22.55487783139364,81.50438880042563
0.1980446609361915,325.43406964632106,-25.124630172082814,74.23212261906085
0.0830350033581518,479.5977963054346,-26.808771789001465,71.89475725488464
